,user,text,favorite_count,retweet_count,created_at
58,SudhanshuTrived,"अखिलेश जी सावधान रहिए।
90 के दशक में अटकी सुई वाले स्वामी प्रसाद मौर्य न स्वामी है न प्रसाद है वो सपा के लिए अवसाद ही होंगे।
उपर से मुलायम-काशीराम जी भी कहते होंगे

“मत कर भैया ऐसे काम,
नहीं बचेगा निशान ओ नाम।

अभी तो सरकार गई है इस ढंग से कार्य करते रहे तो पार्टी भी नहीं बचेगी। https://t.co/t1Uz676csT",3037,669,2023-04-11 17:00:19+00:00
59,SudhanshuTrived,From 9.10 to 9.50 pm I’m @republic,149,23,2023-04-11 15:34:27+00:00
60,SudhanshuTrived,"राहुल जी के लिए दो उदाहरण है॥
एक उत्तर में कश्मीर से,ग़ुलाम नबी आज़ाद जिनसे बड़ा नेता कश्मीर में उनका नहीं दक्षिण में केरल में अंटोनी साहब से बड़ा नेता उनका नहीं, अनिल अंटोनी।
युवा व अनुभवी नेतृत्व, दोनों आपके विरुद्ध बोल रहे रहे हैं और संयोग से अल्पसंख्यक समुदाय से है।आँख खोलिए https://t.co/PPyRHOF2ur",3319,765,2023-04-11 15:29:58+00:00
61,SudhanshuTrived,"राष्ट्र को समर्पित मोदी सरकार की क्रांतिकारी योजना जीवन मिशन। 
अनेक राज्यों में शत प्रतिशत नल से जल के साथ आज देश के 60 प्रतिशत घरों में स्वच्छ नल से जल सुनिश्चित हो रहा है। इस मिशन की वैश्विक स्तर पर तारीफ़ योजना के सफलता की कहानी बया कर रही है। @narendramodi ⁦@BJP4India⁩ https://t.co/iflYQVj57g",974,203,2023-04-11 15:22:36+00:00
62,SudhanshuTrived,From 7.05 to 7.50 pm I’m @News18India,161,18,2023-04-11 13:21:51+00:00
63,SudhanshuTrived,From 6.05 to 6.50 pm I’m @aajtak,181,29,2023-04-11 12:27:02+00:00
64,SudhanshuTrived,"राहुल जी इंग्लैड गये वहाँ के PM ने @narendramodi जी की तारीफ़ कर दी, इटली जहां ननिहाल है वहाँ की PM ने भी तारीफ़ की,घर में ग़ुलाम नबी जी शरद पवार जी सहमत नहीं हैं।आज कांग्रेस का हाल ये  नज़र आता है।
“इस भरी दुनिया में,
कोई भी हमारा न हुआ, 
ग़ैर तो ग़ैर थे,
अपनों का सहारा ना हुआ।” https://t.co/e8fFc7bXhC",3040,673,2023-04-11 04:55:37+00:00
65,SudhanshuTrived,"गुलाम नबी आज़ाद जी की योग्यता पर अचानक सवाल उठाने वाली कांग्रेस अपनी वो योग्यता बताए कि आज हिंडनबर्ग से लेकर, वोल्कर रिपोर्ट, क्रिश्चियन मिशेल, गाइडो हैश्के, क्वात्रोची से भोपाल त्रासदी के एंडरसन तक विगत 40 वर्षों से सारे संदिग्ध विदेशियों का संबंध कांग्रेस के साथ क्यों दिखता है https://t.co/WERFIuMwPC",4267,1258,2023-04-10 16:49:51+00:00
66,SudhanshuTrived,From 9.05 to 9.45 pm I’m @TimesNow,159,21,2023-04-10 15:32:59+00:00
67,SudhanshuTrived,From 7.05 to 7.50 pm I’m @Republic_Bharat,183,28,2023-04-10 13:34:11+00:00
68,SudhanshuTrived,"“कोई भी हमारे सीमा पर आँख उठा कर नहीं देख सकता और वह जमाना चला गया जब भारत की धरती पर कोई अतिक्रमण कर सकता था”

अरुणाचल प्रदेश में वाइब्रेंट विलेज प्रोग्राम कार्यक्रम के शुभारंभ में गृह मंत्री @AmitShah जी https://t.co/77jqTh57fE",2580,542,2023-04-10 13:31:24+00:00
